Epic Handshake	2 dingen die goed samen gaan
third world success kid	Blij zijn
success kid	Blij zijn
empty stonks	Blij zijn
laughing men in suits	Blij zijn
crab rave	Blij zijn
Buddy Christ	Blij zijn
bugs bunny communist	Delen
Blank Nut Button	Direct iets doen
Hide the Pain Harold	Doen alsof je het leuk vind
This Is Fine	Doen alsof je het leuk vind
third world skeptical kid	Domme dingen
is this a pigeon	Domme dingen
bad luck brian	Domme dingen
bike fall	Domme dingen
black girl what	Domme dingen
Woman Yelling At Cat	Domme dingen
Is This A Pigeon	Domme dingen
grandma finds the internet	Domme dingen
They're The Same Picture	Domme dingen
X, X Everywhere	Een toekomst voorspellen
evil kermit	Eerlijk zijn tegen jezelf
all my homies hate	Ergens een hekel aan hebben
y'all got any more of that	Ergens meer van willen
Batman Slapping Robin	Ergens oneens mee zijn
leonardo dicaprio cheers	Felicitatie
squidward	Gedachten vs Reality
spiderman pointing at spiderman	Geen verschil
Drake Hotline Bling	Goed / Slecht
Buff Doge vs. Cheems	Goed / Slecht
be like bill	Goed voorbeeld
Laughing Leo	Grappig vinden
Inhaling Seagull	Heel hard willen schreeuwen
spongebob ight imma head out	Opgeven
Who Killed Hannibal	Hypocriet
oprah you get a	Iedereen krijgt iets
Left Exit 12 Off Ramp	Iets  ver boven het andere kiezen
Uno Draw 25 Cards	Iets  ver boven het andere kiezen
hard to swallow pills	Iets accepteren
Distracted Boyfriend	Iets willen
Roll Safe Think About It	Iets doms wat slim klinkt
futurama fry	Domme dingen
Panik Kalm Panik	Iets gaat fout, het maakt niet uit, het is erger
evil toddler	Iets gemeens doen
sleeping shaq	Iets negeren
but that's none of my business	Iets negeren
The Scroll Of Truth	Iets slechts
don't you squidward	Iets stiekems gedaan hebben
Sad Pablo Escobar	Iets stoms meemaken
One Does Not Simply	Iets wat je niet kan maken
Running Away Balloon	Iets wat niet haalbaar is
this is where i'd put my throphy if i had one	Iets willen
Bernie I Am Once Again Asking For Your Support	Iets willen
shut up and take my money fry	Iets willen
second breakfast	Iets willen
Mr Smith More Template	Iets willen
Two Buttons	Keuze maken
domino effect	Klein naar groot
Waiting Skeleton	Lang wachten
i'll just wait here	Lang wachten
maury lie detector	Leugens
Change My Mind	Mening verspreiden
Trump Bill Signing	Mening verspreiden
guy holding cardboard sign	Mening verspreiden
x all the y	Mening verspreiden
see nobody cares	Niet belangrijk
Tuxedo Winnie The Pooh	Normaal / Chick
jack sparrow being chased	Ontwijken
well yes, but actually no	Opbiechten
I Bet He's Thinking about Other Women	Over iets raars nadenken
Gru's Plan	Plan
Boardroom Meeting Suggestion	Plan
Mocking Spongebob	Raar vinden
Always Has Been	Realisatie
Monkey Puppet	Realisatie
the rock driving	Realisatie
unsettled tom	Realisatie
you guys are getting paid	Realisatie
and just like that	Realisatie
finding neverland	Realisatie
marvel civil war 1	Ruzie
scared cat	Schrikken
Expanding brain	Slecht => Goed
Clown Appllying Makeup	Slecht => Goed
pawn stars best i can do	Slechte deal
star wars yoda	Teleurgesteld zijn
disappointed black guy	Teleurgesteld zijn
grumpy cat	Teleurgesteld zijn
peter parker cry	Teleurgesteld zijn
first world problems	Teleurgesteld zijn
Suprised Pikachu	Verbaasd zijn
surprised koala	Verbazing
look at me	Verplichting
i am once again asking	Vraag
brace yourselves x is coming	Waarheid inzien
Ancient Aliens	Wat als, maar
who would win	Wedstrijd
American Chopper Argument	Weten dat je verliest
Disaster Girl	Wraak nemen
